staff_id,staff_gpn,staff_bu_code
35096,HK010597184,HK001
35192,HK010599477,HK001
35218,CN010508285,CN403
35219,CN010508288,CN403
35245,HK010581325,HK001
35275,HK010600898,HK001
35310,HK010510470,HK001
35319,CN010511256,CN401
35321,CN010511259,CN403
35359,CN010511982,CN403
35361,CN010511998,CN403
35363,CN010512002,CN403
35365,CN010512031,CN403
35366,CN010512054,CN403
35377,CN010512094,CN403
35384,CN010512099,CN403
35387,CN010512124,CN403
35388,CN010512134,CN403
35401,CN010512169,CN411
35404,CN010512198,CN413
35423,CN010512234,CN416
35426,CN010512260,CN419
35427,CN010512261,CN403
35428,CN010512283,CN422
35440,CN010512288,CN403
35443,CN010512311,CN403
35444,CN010512315,CN403
35484,CN010587335,CN403
35495,CN010512330,CN401
35498,CN010512347,CN401
35523,CN010512375,CN401
35532,CN010512425,CN401
35534,CN010512432,CN401
35537,CN010512465,CN401
35538,CN010512480,CN411
35539,CN010512494,CN401
35540,CN010588631,CN405
35561,CN010512509,CN401
35564,CN010512523,CN401
35626,HK010606705,HK001
35673,CN010512674,CN407
35675,CN010512684,CN407
35676,CN010512698,CN407
35683,HK010597150,HK001
35684,HK010597152,HK001
35706,CN010512786,CN405
35743,CN010512810,CN415
35744,CN010512814,CN406
35745,CN010512815,CN406
35766,CN010512877,CN401
35769,CN010512895,CN417
35775,HK010598694,HK001
35780,CN010512896,CN417
35791,HK010599307,HK001
35800,CN010512911,CN420
35803,CN010512931,CN401
35847,CN010513095,CN403
35854,CN010607699,CN425
35855,CN010607701,CN425
35857,CN010607722,CN419
35867,CN010607741,CN430
35868,CN010607754,CN416
35869,CN010607768,CN414
35870,CN010607796,CN419
35873,CN010607827,CN419
35874,CN010607830,CN419
35876,CN010607844,CN411
35889,CN010600885,CN405
35893,CN010607847,CN416
35894,CN010607857,CN413
35896,CN010607876,CN407
35897,CN010607878,CN407
35898,CN010607887,CN407
35899,CN010607889,CN407
35901,CN010607895,CN407
35902,CN010607909,CN407
35914,CN010600930,CN403
35932,CN010514558,CN403
35936,CN010607912,CN407
35937,CN010607917,CN407
35938,CN010607920,CN407
35939,CN010607922,CN407
35940,CN010607924,CN407
35942,CN010601309,CN403
35955,CN010607974,CN401
35963,CN010607980,CN429
35964,CN010607991,CN401
35965,CN010607996,CN401
35967,CN010608021,CN401
35968,CN010608056,CN403
35969,CN010608070,CN403
35971,CN010608083,CN403
35972,CN010608102,CN403
35982,CN010608134,CN403
35984,CN010608142,CN403
35993,CN010608160,CN403
35994,CN010608163,CN403
35995,CN010608167,CN403
36008,CN010608182,CN403
36010,CN010608201,CN403
36012,CN010608212,CN403
36028,CN010516118,CN401
36046,CN010608245,CN417
36047,CN010608257,CN409
36055,CN010608258,CN417
36056,CN010608272,CN417
36062,CN010608296,CN401
36064,CN010608317,CN401
36082,CN010608318,CN401
36098,CN010608361,CN403
36099,CN010608367,CN401
36118,CN010608410,CN405
36120,CN010608422,CN405
36138,CN010604792,CN401
36143,CN010518809,CN777
36150,CN010608432,CN412
36151,CN010608436,CN401
36154,CN010608442,CN401
36170,CN010608467,CN407
36171,CN010608472,CN405
36172,CN010608483,CN405
36174,CN010608487,CN405
36175,CN010608492,CN405
36176,CN010608500,CN415
36177,CN010608502,CN405
36189,CN010604819,CN403
36207,HK010604884,HK001
36211,CN010608529,CN407
36219,CN010608532,CN407
36220,CN010608537,CN407
36222,CN010608570,CN401
36224,CN010608623,CN401
36225,CN010608625,CN401
36226,CN010608631,CN401
36227,CN010608641,CN401
36234,CN010608680,CN403
36240,CN010520395,CN407
36246,CN010520433,CN413
36259,CN010608769,CN414
36274,CN010521392,CN409
36278,HK010609137,HK001
36340,CN010606626,CN403
36363,CN010611534,CN403
36369,CN010612039,CN403
36395,CN010607290,CN401
36450,CN010524564,CN407
36503,HK010525771,HK040
36505,CN010607495,CN403
36537,CN010527178,CN415
36548,CN010607588,CN403
36569,CN010607637,CN405
36572,CN010615925,CN403
36603,CN010607749,CN403
36608,CN010607772,CN414
36609,CN010607774,CN413
36610,CN010607781,CN419
36611,CN010607783,CN413
36612,CN010607785,CN413
36613,CN010607787,CN413
36615,CN010607790,CN413
36616,CN010607792,CN413
36633,CN010607794,CN410
36634,CN010607798,CN411
36635,CN010607823,CN419
36636,CN010607829,CN419
36651,HK010619342,HK001
36657,CN010607832,CN422
36659,CN010607842,CN411
36660,CN010607843,CN403
36668,CN010607865,CN415
36690,CN010607904,CN407
36691,CN010607915,CN407
36692,CN010607916,CN407
36693,CN010607925,CN407
36697,CN010607960,CN401
36698,CN010607961,CN401
36699,CN010607964,CN401
36700,CN010607983,CN401
36702,CN010607998,CN401
36703,CN010608011,CN401
36706,CN010608040,CN427
36707,CN010608044,CN403
36708,CN010608048,CN403
36723,HK010622096,HK001
36724,HK010622099,HK001
36730,CN010608091,CN403
36731,CN010608095,CN403
36732,CN010608098,CN403
36733,CN010608106,CN403
36734,CN010608108,CN403
36735,CN010608109,CN403
36736,CN010608117,CN403
36737,CN010608121,CN403
36738,CN010608135,CN403
36739,CN010608147,CN403
36742,CN010608154,CN403
36743,HK010623635,HK001
36745,HK010623674,HK001
36749,HK010623719,HK001
36752,CN010608169,CN403
36753,CN010608170,CN403
36754,CN010608171,CN403
36756,CN010608194,CN411
36758,CN010608199,CN403
36760,CN010608202,CN403
36761,CN010608205,CN403
36765,CN010608260,CN417
36767,CN010608276,CN417
36768,CN010608280,CN417
36770,CN010608300,CN412
36771,HK010623936,HK001
36774,CN010623946,CN405
36775,HK010623957,HK001
36779,HK010624242,HK001
36781,HK010624258,HK001
36786,HK010530148,HK040
36789,HK010624325,HK001
36795,CN010608320,CN401
36796,CN010608332,CN417
36797,CN010608342,CN401
36799,CN010608356,CN401
36809,CN010624712,CN406
36819,CN010608404,CN405
36820,CN010608407,CN405
36822,CN010608431,CN412
36823,CN010608434,CN401
36846,CN010531233,CN401
36855,CN010608473,CN405
36857,CN010608482,CN405
36859,CN010608506,CN405
36876,CN010608539,CN407
36877,CN010608553,CN401
36880,CN010608608,CN401
36881,CN010608612,CN426
36882,CN010608613,CN401
36883,CN010608614,CN427
36894,CN010628242,CN401
36896,HK010628494,HK001
36900,CN010629024,CN403
36906,CN010630485,CN401
36913,CN010632733,CN401
36926,CN010634494,CN401
36933,CN010608645,CN401
36935,CN010608651,CN722
36936,CN010608654,CN403
36937,CN010608656,CN403
36941,CN010634710,CN415
36942,CN010634719,CN415
36948,CN010608658,CN403
36949,CN010608661,CN403
36950,CN010608668,CN403
36952,CN010608676,CN403
36953,CN010608687,CN403
36958,CN010634744,CN415
36959,CN010634747,CN415
36975,CN010608767,CN414
36976,CN010608768,CN414
36991,HK010535442,HK001
36995,HK010535468,HK001
37000,CN010609078,CN419
37004,CN010641812,CN409
37016,CN010627904,CN403
37039,CN010629028,CN403
37046,CN010641924,CN403
37047,CN010641925,CN403
37055,CN010641938,CN403
37067,CN010641947,CN403
37068,CN010641952,CN403
37069,CN010641955,CN403
37109,CN010634716,CN415
37110,CN010634721,CN415
37111,HK010642109,HK001
37114,CN010634728,CN415
37115,CN010634731,CN415
37116,CN010634735,CN415
37117,CN010634741,CN415
37118,CN010634752,CN415
37119,CN010642346,CN411
37125,HK010635169,HK001
37152,CN010643357,CN403
37206,CN010549768,CN407
37212,CN010640896,CN726
37213,CN010640899,CN726
37215,CN010640904,CN726
37248,CN010640966,CN426
37249,CN010640975,CN426
37252,CN010640991,CN426
37253,CN010640998,CN426
