name_query,code,main_service_line,sub_service_line,engage_nature
AUD2022,22886148,2,1,0
AUD2022,22886178,2,1,0
AUD2022,22886193,2,1,0
AUD2022,22886203,2,1,0
AUD2022,22886213,2,1,0
AUD2022,22886238,2,1,0
AUD2022,22886243,2,1,0
AUD2022,22886248,2,1,0
AUD2022,22886258,2,1,0
AUD2022,22886268,2,1,0
AUD2022,22886283,2,1,0
AUD2022,22888093,2,1,0
AUD2022,22888103,2,1,0
AUD2022,22888108,1,1,0
AUD2022,22888123,2,1,0
AUD2022,22888133,2,1,0
AUD2022,22888138,2,1,0
AUD2022,22888158,2,1,0
AUD2022,22888163,2,1,0
AUD2022,22888173,1,1,0
AUD2022,22888178,2,1,0
AUD2022,22888193,2,1,0
AUD2022,22888203,2,1,0
AUD2022,22888208,2,1,0
AUD2022,22888218,2,1,0
AUD2022,22888223,2,1,0
AUD2022,22888238,2,1,0
AUD2022,22888258,2,1,0
AUD2022,22888263,2,1,0
AUD2022,22888273,2,1,0
AUD2022,22888298,2,1,0
AUD2022,22888303,1,1,0
AUD2022,22888323,2,1,0
AUD2022,22888328,2,1,0
AUD2022,22888333,1,1,0
AUD2022,22888348,2,1,0
AUD2022,22888353,2,1,0
AUD2022,22888363,2,1,0
AUD2022,22888388,2,1,0
AUD2022,22888448,2,1,0
AUD2022,22888463,2,1,0
AUD2022,22888478,1,1,0
AUD2022,22888498,2,1,0
AUD2022,22891188,2,1,0
AUD2022,22891193,2,1,0
AUD2022,22891198,2,1,0
AUD2022,22891203,2,1,0
AUD2022,22891213,2,1,0
AUD2022,22891223,2,1,0
AUD2022,22891238,2,1,0
AUD2022,22891243,2,1,0
AUD2022,22891248,2,1,0
AUD2022,22891283,2,1,0
AUD2022,22891288,2,1,0
AUD2022,22891293,2,1,0
AUD2022,22891313,2,1,0
AUD2022,22891333,2,1,0
AUD2022,22891343,2,1,0
AUD2022,22891358,2,1,0
AUD2022,22891368,2,1,0
AUD2022,22891423,2,1,0
AUD2022,22891428,2,1,0
AUD2022,22891483,2,1,0
AUD2022,22891513,2,1,0
AUD2022,22891518,2,1,0
AUD2022,22891523,2,1,0
AUD2022,22891533,2,1,0
AUD2022,22891558,2,1,0
AUD2022,22891573,2,1,0
AUD2022,22891583,2,1,0
AUD2022,22891588,2,1,0
AUD2022,22891598,2,1,0
AUD2022,22891613,2,1,0
AUD2022,22891623,2,1,0
AUD2022,22894283,2,1,0
AUD2022,22894293,2,1,0
AUD2022,22894298,2,1,0
AUD2022,22894313,2,1,0
AUD2022,22894338,2,1,0
AUD2022,22894363,2,1,0
AUD2022,22894398,2,1,0
AUD2022,22894403,2,1,0
AUD2022,22894413,2,1,0
AUD2022,22894418,2,1,0
